Year,Exporter,Importer,HSCode,Weight,Value,EstimationMethod,UnitPrice($/kg)
2024,ITA,TGO,6309,2878690.0,1011154.316,Original,0.351255021
2024,JPN,SLV,6309,25740.0,8898.942,Original,0.345724242
2024,MWI,DZA,6309,494.0,174.2,Original,0.352631579
2024,MUS,MDG,6310,129137.0,44715.734,Original,0.346265857
2024,NOR,PAK,6309,808868.0,280274.943,Original,0.346502696
2024,IND,GRC,6310,626785.0,217242.343,Original,0.346597865
2024,IND,ISL,6310,52870.0,18377.091,Original,0.347590146
2024,IND,NZL,6310,796680.0,277104.666,Original,0.347824303
2024,UKR,GHA,6309,2028220.0,702140.69,Original,0.346185665
2024,GBR,BLR,6309,24560.0,8534.391,Original,0.34749149
2024,TUR,MYS,6310,1184640.0,416591.0,Original,0.35166042
2024,BEL,SEN,6310,60265.9,21416.24,Original,0.355362485
2024,CHN,MAR,6309,4507517.0,1608496.0,Original,0.356847462
2024,CHN,ARE,6309,6525630.0,2375282.0,Original,0.363992749
2024,HRV,TGO,6309,509240.0,181728.0,Original,0.356861205
2024,CAN,SGP,6310,57010.0,20577.592,Original,0.360947062
2024,SLV,ARG,6309,150.0,54.0,Original,0.36
2024,FRA,BEL,6310,1382282.0,492720.151,Original,0.356454147
2024,GRC,ALB,6309,17935.0,6423.928,Original,0.358178311
2024,GUY,CUW,6310,91.26,32.791,Original,0.359314048
2024,MYS,MDG,6309,25254.0,9007.899,Original,0.35669197
2024,KEN,UGA,6310,50.0,17.959,Original,0.35918
2024,MYS,VNM,6310,400.0,142.032,Original,0.35508
2024,MAR,PAK,6309,277760.0,100921.812,Original,0.363341777
2024,MAR,ARE,6309,164620.0,58634.971,Original,0.356183763
2024,MAR,ESP,6310,3691522.1,1338606.087,Original,0.3626163
2024,PHL,ARE,6310,238355.0,84655.0,Original,0.355163517
2024,ESP,CPV,6309,20722.0,7542.919,Original,0.364005357
2024,THA,KHM,6309,1440419.148,512445.76,Level 1 (Exp-Imp),0.355761558
2024,THA,KHM,6310,1954815.367,706204.98,Original,0.361264287
2024,GBR,ZMB,6309,51810.0,18401.765,Original,0.355177861
